student_id,student_name,course_code,term,credits,has_prerequisites,midterm_score,final_score,assignment_score,total_score,passed,attendance_rate
20260000,Sandra Hernandez,HU 323,Fall 2023,3,False,20,28,10,58,True,42.76
20260000,Sandra Hernandez,HU 331,Fall 2023,2,False,30,34,4,68,True,76.87
20260000,Sandra Hernandez,IS 333,Fall 2024,3,True,19,43,13,75,True,67.98
20260000,Sandra Hernandez,IS 498,Spring 2024,4,True,23,21,8,52,True,74.86
20260000,Sandra Hernandez,MA 111,Spring 2024,3,True,15,39,13,67,True,53.01
20260000,Sandra Hernandez,IS 441,Spring 2024,2,False,18,32,17,67,True,77.41
20260001,Eric Brown,IS 313,Fall 2023,2,True,11,26,15,52,True,100.0
20260001,Eric Brown,IS 241,Fall 2024,4,False,26,29,13,68,True,74.45
20260001,Eric Brown,IS 451,Spring 2024,3,True,15,29,8,52,True,78.68
20260001,Eric Brown,IT 241,Spring 2024,2,False,9,28,7,44,False,60.74
20260001,Eric Brown,IS 496,Spring 2024,3,False,11,34,7,52,True,55.85
20260001,Eric Brown,IS 435,Spring 2024,4,False,10,21,11,42,False,92.63
20260002,Margaret Kennedy,HU 111,Fall 2023,3,True,27,40,18,85,True,77.54
20260002,Margaret Kennedy,IS 448,Fall 2023,3,True,28,36,11,75,True,87.65
20260002,Margaret Kennedy,IS 333,Fall 2023,2,True,25,45,19,89,True,66.9
20260002,Margaret Kennedy,IS 460,Fall 2024,2,False,23,40,14,77,True,53.62
20260002,Margaret Kennedy,CS 313,Fall 2024,3,False,26,45,17,88,True,95.66
20260002,Margaret Kennedy,IS 422,Fall 2024,4,False,27,41,20,88,True,100.0
20260003,Kimberly Spencer,IS 450,Fall 2023,2,False,28,36,16,80,True,52.94
20260003,Kimberly Spencer,IT 241,Fall 2024,2,False,24,43,13,80,True,88.3
20260003,Kimberly Spencer,IS 321,Fall 2024,4,False,30,41,19,90,True,88.52
20260003,Kimberly Spencer,CS 112,Fall 2024,2,True,25,42,19,86,True,49.2
20260003,Kimberly Spencer,HU 332,Spring 2024,2,False,14,35,19,68,True,69.34
20260003,Kimberly Spencer,HU 333,Spring 2024,2,False,19,36,19,74,True,88.62
20260003,Kimberly Spencer,IS 442,Spring 2024,3,False,20,45,14,79,True,87.91
20260004,William Waters,CS 221,Fall 2023,4,True,8,11,5,24,False,78.82
